         9x3.9SFR                 (9x39SFR.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 12/12/2023                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0536      0.0225       0.000       0.007       0.011       0.080       0.001       0.050      63.948        0.04       9618.    0.4415  
        0.12      0.0143      0.0336      0.0528      0.0224       0.000       0.007       0.011       0.080       0.001       0.049      62.980        0.04       9621.    0.4315  
        0.24      0.0285      0.0661      0.0519      0.0224       0.000       0.007       0.011       0.079       0.001       0.048      61.981        0.04       9624.    0.4211  
        0.36      0.0428      0.0974      0.0510      0.0224       0.000       0.007       0.011       0.079       0.001       0.047      60.954        0.04       9627.    0.4103  
        0.49      0.0570      0.1277      0.0500      0.0223       0.000       0.007       0.010       0.079       0.001       0.046      59.899        0.04       9631.    0.3992  
        0.61      0.0713      0.1567      0.0489      0.0223       0.000       0.007       0.010       0.079       0.001       0.045      58.816        0.04       9634.    0.3878  
        0.73      0.0856      0.1845      0.0478      0.0222       0.000       0.007       0.010       0.079       0.001       0.044      57.704        0.04       9638.    0.3760  
        0.85      0.0998      0.2110      0.0466      0.0220       0.000       0.007       0.010       0.078       0.001       0.043      56.562        0.04       9643.    0.3638  
        0.97      0.1141      0.2361      0.0453      0.0219       0.000       0.007       0.009       0.078       0.001       0.042      55.389        0.04       9647.    0.3513  
        1.09      0.1284      0.2599      0.0439      0.0217       0.000       0.006       0.009       0.077       0.001       0.041      54.183        0.04       9652.    0.3384  
        1.22      0.1426      0.2821      0.0425      0.0215       0.000       0.006       0.009       0.076       0.001       0.039      52.942        0.04       9657.    0.3252  
        1.34      0.1569      0.3028      0.0409      0.0212       0.000       0.006       0.009       0.075       0.001       0.038      51.662        0.04       9662.    0.3116  
        1.46      0.1711      0.3219      0.0393      0.0209       0.000       0.006       0.008       0.074       0.001       0.037      50.340        0.04       9667.    0.2976  
        1.58      0.1854      0.3392      0.0376      0.0206       0.000       0.006       0.008       0.073       0.001       0.035      48.969        0.04       9673.    0.2832  
        1.70      0.1997      0.3547      0.0358      0.0202       0.000       0.006       0.007       0.071       0.001       0.033      47.543        0.04       9679.    0.2683  
        1.82      0.2139      0.3681      0.0340      0.0197       0.000       0.006       0.007       0.070       0.001       0.032      46.056        0.04       9685.    0.2531  
        1.94      0.2282      0.3794      0.0320      0.0193       0.000       0.006       0.007       0.068       0.001       0.030      44.496        0.04       9691.    0.2374  
        2.07      0.2425      0.3882      0.0300      0.0187       0.000       0.006       0.006       0.066       0.001       0.028      42.852        0.04       9698.    0.2213  
        2.19      0.2567      0.3944      0.0279      0.0182       0.000       0.005       0.006       0.064       0.001       0.026      41.115        0.04       9705.    0.2048  
        2.31      0.2710      0.3976      0.0258      0.0176       0.000       0.005       0.005       0.062       0.001       0.024      39.269        0.04       9712.    0.1879  
        2.43      0.2852      0.3975      0.0236      0.0169       0.000       0.005       0.005       0.060       0.001       0.022      37.295        0.04       9719.    0.1707  
        2.55      0.2995      0.3936      0.0213      0.0162       0.000       0.005       0.004       0.057       0.001       0.020      35.168        0.04       9727.    0.1530  
        2.67      0.3138      0.3852      0.0190      0.0155       0.000       0.005       0.004       0.055       0.001       0.018      32.854        0.04       9735.    0.1350  
        2.80      0.3280      0.3715      0.0167      0.0147       0.000       0.004       0.003       0.052       0.000       0.015      30.312        0.04       9743.    0.1166  
        2.92      0.3423      0.3515      0.0143      0.0139       0.000       0.004       0.003       0.049       0.000       0.013      27.484        0.04       9751.    0.0978  
        3.04      0.3566      0.3236      0.0118      0.0130       0.000       0.004       0.002       0.046       0.000       0.011      24.291        0.04       9760.    0.0787  
        3.16      0.3708      0.2858      0.0093      0.0121       0.000       0.004       0.002       0.043       0.000       0.009      20.627        0.04       9769.    0.0594  
        3.28      0.3851      0.2350      0.0068      0.0112       0.000       0.003       0.001       0.040       0.000       0.006      16.336        0.04       9778.    0.0402  
        3.40      0.3993      0.1669      0.0042      0.0102       0.000       0.003       0.001       0.036       0.000       0.004      11.189        0.04       9788.    0.0217  
        3.53      0.4136      0.0746      0.0016      0.0091       0.000       0.003       0.000       0.032       0.000       0.002       4.830        0.04       9798.    0.0058  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0538      0.0207       0.001       0.025       0.045       0.587       0.003       0.200      34.749        0.07      19235.    0.4803  
        0.25      0.0145      0.0372      0.0529      0.0207       0.001       0.025       0.044       0.587       0.003       0.197      34.189        0.07      19241.    0.4689  
        0.50      0.0291      0.0731      0.0520      0.0207       0.001       0.025       0.043       0.587       0.003       0.193      33.613        0.07      19248.    0.4570  
        0.74      0.0436      0.1077      0.0510      0.0207       0.001       0.025       0.043       0.586       0.003       0.190      33.023        0.07      19254.    0.4448  
        0.99      0.0582      0.1409      0.0500      0.0206       0.001       0.025       0.042       0.585       0.003       0.186      32.419        0.07      19262.    0.4323  
        1.24      0.0727      0.1728      0.0489      0.0206       0.001       0.025       0.041       0.584       0.003       0.182      31.801        0.07      19269.    0.4194  
        1.49      0.0873      0.2032      0.0477      0.0205       0.001       0.025       0.040       0.581       0.003       0.178      31.170        0.07      19278.    0.4061  
        1.74      0.1018      0.2322      0.0465      0.0204       0.001       0.024       0.039       0.578       0.003       0.173      30.524        0.07      19286.    0.3925  
        1.98      0.1163      0.2596      0.0452      0.0202       0.001       0.024       0.038       0.574       0.003       0.168      29.865        0.07      19295.    0.3785  
        2.23      0.1309      0.2855      0.0438      0.0201       0.001       0.024       0.037       0.569       0.003       0.163      29.190        0.07      19305.    0.3641  
        2.48      0.1454      0.3097      0.0423      0.0199       0.001       0.024       0.035       0.563       0.003       0.157      28.498        0.07      19315.    0.3494  
        2.73      0.1600      0.3322      0.0407      0.0196       0.001       0.023       0.034       0.556       0.003       0.151      27.789        0.07      19326.    0.3343  
        2.97      0.1745      0.3529      0.0391      0.0193       0.001       0.023       0.033       0.548       0.003       0.145      27.059        0.07      19337.    0.3188  
        3.22      0.1890      0.3716      0.0373      0.0190       0.001       0.023       0.031       0.538       0.003       0.139      26.306        0.07      19348.    0.3029  
        3.47      0.2036      0.3883      0.0355      0.0186       0.001       0.022       0.030       0.527       0.003       0.132      25.526        0.07      19360.    0.2866  
